old_sec_id	sec_id	name_en	name_fr
999999	1	Not specified	Not specified (fr)
1	2	Science	Science (fr)
2	3	Oceans	Océans
3	4	FFHPP	FFHPP (fr)
4	5	SARA	SARA (fr)
5	6	RM	RM (fr)
6	7	AMD	AMD (fr)
7	1
8	8	Aquaculture	Aquaculture
9	9	EAMP	EAMP
10	10	FAM	FAM
11	10	Fisheries Management	Gestion des resources des pêches
12	11	Fisheries Protection Program (FPP)	Programme de protection des pêches
13	11	FPP	FPP
14	12	Habitat	Habitat
15	12	Habtiat	Habtiat
16	13	NHQ	NHQ
17	3	Oceans / Océans	Oceans / Océans
18	14	RDG	RDG
4	5	SARA / LEP	SARA / LEP
19	15	TRAC	TRAC